log_no,url,title,published,status,error,body_hash,notes
220427369961,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220427369961&categoryNo=982,라즈베리 파이 - 라즈비안 설치 방법 (RASBIAN),2015. 7. 22. 1:05,full-text,,a0f0b9936666067714cab1ce220fac00fb67386059e125b27d0a61a5a0c5c6aa,1
220438161575,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220438161575&categoryNo=982,"라즈베리 파이 - 통신 프로토콜 : SPI, I2C, UART",2015. 8. 1. 17:27,full-text,,9361bdc773532674b90eb6b13c81a262eff5f9dfef699a3f41f07df6bc52ddda,1
220450706746,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220450706746&categoryNo=982,아두이노 우노 - 10 LED Bar와 조도센서,2015. 8. 14. 13:53,full-text,,2fdc7dbed962979863469693d44b940d253e6a1d1ed20329448f7d5779989312,1
220450825713,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220450825713&categoryNo=982,아두이노 우노 - 고휘도 LED로 숨쉬기 효과,2015. 8. 14. 15:55,full-text,,1383d83d39f5fd1a9ac74f9d7af8413e72a81b91d45bfb85ba18c39660be06da,1
220453762277,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220453762277&categoryNo=982,아두이노 우노 - 한적한 시골길 LED 신호등,2015. 8. 17. 22:00,full-text,,4777993ad662ec66ea1358b50f0c1c951dabf4264ea0bcc42e78b5d26874d059,1
220453885570,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220453885570&categoryNo=982,아두이노 우노 - 랜덤 LED 주사위 with 트릭,2015. 8. 17. 23:57,full-text,,7585e082f53d1fc71298572796691bd0f7293406f55b19b5c00f1ba96c210780,1
220458365956,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220458365956&categoryNo=982,아두이노 우노 - 적외선(IR) 장애물 감지센서,2015. 8. 22. 5:59,full-text,,be7d80ba2aa650a31f2dcf9699f3f1865e1104af10df1231d66d0958df7579d1,1
220458372638,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220458372638&categoryNo=982,아두이노 우노 - 초음파 거리센서 (SRF05),2015. 8. 22. 6:45,full-text,,919265e9be6ab569efb684e66fc810a1815cf11324b4d2c32c4c5689b96cd89d,1
220461053364,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220461053364&categoryNo=982,아두이노 우노 - 7세그먼트 LED 카운트다운,2015. 8. 25. 3:40,full-text,,ec07d97ec3b7b8624b5c1f7a47f499f316d80574bf3e0c8a989d0a34724fd7a8,1
220464270241,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220464270241&categoryNo=982,아두이노 우노 - 16 x 2 라인 캐릭터 LCD #2,2015. 8. 28. 1:50,full-text,,67690841c8623c984f632304a4979b86d0df9fd6de23da5174156d41ba2a85da,1
220571633778,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220571633778&categoryNo=982,라즈베리 파이 - 파이 2 언박싱과 아크릴 케이스 조립기,2015. 12. 18. 1:21,full-text,,9ef825cb067944f97b94e7df618c3131da6cd315f2241bb86516a1af88716099,1
